,prompt,source
371,Eve's dog galloped into the dining room. They'd just set out a dinner buffet for guests soon to arrive.,roc
372,He looked down at the tattoos that crossed the large man's chest.,mnli
373,Anna applied bleach to color her roots. Then she went to watch TV. But she lost track of time! She left the bleach on for far too long.,roc
374,"Wright loved to clean his home. One day after a very big party, the house was very messy. There was even pizza on the roof.",roc
375,Kevin had been growing his hair out for six months. It was getting so long and flowy. He went to the salon to get a trim.,roc
376,"Julie arrives early to the airport for her flight. Just as she gets to the desk, she receives an alert on her phone.",roc
377,Danny has loved football since he was a kid. He always wanted to go to a professional football game.,roc
378,I ate six pieces of gum at once. I chewed the gum for a whole day. The gum broke my jaw. I went to the doctor.,roc
379,"Scrambles the cat was adopted in late July from a shelter. She was transported to her new home in her owner's car. Once home, Scrambles nervously explored her surroundings.",roc
380,There was something I had to see first.,mnli
381,Tasha plays softball with her family. The team had a game one night. She met a man named Jared from the other team.,roc
382,John felt he was getting fat. He decided to start working out. He invited a friend to do it with him. They would motivate each other to do better.,roc
383,He had hoped to spend the next three months in Fena Set avoiding the fall torrent.,mnli
384,Precisely what are your views? Precisely what are you saying?',mnli
385,"What have you been doing, doctor? cried Mrs. Cavendish.",mnli
386,The head of the ward looked at a young doctor and told him sternly:,mnli
387,Grace always ran through the local park for exercise. The park had been closed down recently for sidewalk repairs.,roc
388,"Like all modern dinosaurs, raptors are inexplicably attracted to the scent of BBQ sauce.",mnli
389,Jonah wanted to hire the best employee for his firm. He looked at resumes and called in the best. As interviews went by he was getting desperate.,roc
390,"Anita had pushed her adult son around hard that day. While leaving a store she told her friend, I should have broke a leg. Suddenly, Anita tripped and fell down.",roc
391,They may cut you down just to appease their bad luck.,mnli
392,"As though he read my thoughts, he nodded gently.",mnli
393,"Their clothes are different, perhaps, but they themselves are just the same.",mnli
394,"My mom ordered a steak from the restaurant. She requested that be cooked well-done. When the server brought the food out, the steak was still red.",roc
395,Mike had to find someone to bring to the dance. He was a geeky guy who loved video games and rarely socialized.,roc
396,Earnest was always daydreaming about acting. He was totally in love with movies. Earnest wasn't really going anywhere in life. He decided he was going to give acting a shot.,roc
397,"But you do not know, inspector, how I have been persecuted and maligned. And he shot a baleful glance at Evelyn Howard.",mnli
398,"He dropped it near Adrin, who buttoned his trousers.",mnli
399,"Anse sat crosslegged beside him, the bruise now a black shadow on his jaw.",mnli
400,His Floater had burnt out while still sufficiently distant from surface to have the fall stun him.,mnli
401,I shouldn't like the colonies and I'm perfectly certain they wouldn't like me!,mnli
402,Julie drove her car to the grocery store. She accidentally locked her keys in the car. Julie noticed a tow truck in the parking lot.,roc
403,Gray Cloud knew the path and did not stumble.,mnli
404,Ron was writing as fast as he could. The test was a lot longer than he expected.,roc
405,"and this is Adrin, adventurer of the north.",mnli
406,"If she shrieked for help there was very little chance of anyone hearing her, whereas there was probably quite a good chance of Mrs. Vandemeyer's shooting her.",mnli
407,Natalie had never been in a helicopter before. She decided to take a ride while on vacation. The helicopter took her over waterfalls and mountains.,roc
408,"Yet he had a certain charm of manner, and I fancied that, if one really knew him well, one could have a deep affection for him.",mnli
409,"Mariana was finally engaged to her love. They spent a lot of time to set up a wedding. The groom however, ended up backing off. Mariana did not know why.",roc
410,"She dared not reopen the door, however gently.",mnli
411,Tom got a new phone. He dropped it within days. The screen cracked in several locations. Tom had insurance on it that covered accidental damage.,roc
412,James felt very important. He had a badge as part of his new job. He would flash his badge and be let in any room.,roc
413,Kate was ordering lunch from an Italian restaurant. They had a white bean hummus on the menu. She decided to try it out. The warm garlicky hummus was lovely.,roc
414,Are you hurt? Ca'daan turned and faced Jon.,mnli
415,Betraying everybody equally- the one thing Benjamin Franklin certainly wouldn't have done.,mnli
416,Dave went to private school. He had a nice clean uniform. He went to play in the dirty playground. There was a lot of mud.,roc
417,Jared has been training for the Olympics since he was 14 years old. He made it to the 2016 Olympics in Brazil.,roc
418,"There was a tall carved cupboard with a grilled door, a bookcase, and two massive chests shoved back against the walls.",mnli
419,There was no glamour in the enormous droppings of the brill but he had helped rebuild the town even when many made it clear that he was not wanted.,mnli
420,"In a moment or two he roused himself, and went on with his investigations.",mnli
421,Adam is playing a game of rugby. Adam is giving it his best. He tries to make a score. He gets knocked on the ground and loses the ball.,roc
422,All of the men continued to watch him as if his actions were highly significant.,mnli
423,Kyle was three and going for his first haircut. He was afraid and nervous. But the hairdresser was very kind to him!,roc
424,Tom was getting some fast food. They put out his order and called his number. Tom noticed someone run up and get it first.,roc
425,My teacher looked angry today. My teacher yelled at the classroom and gave us all a pop quiz. The classroom moaned and groaned. Nobody was prepared for this quiz.,roc
426,"There was, undoubtedly, a tie of passion between them long before he came to Styles.",mnli
427,My cousins and I ran to to the bedroom when we heard crawling noises. The noises continued for several minutes.,roc
428,Marisa was usually a good girl. She never disrespected her parents until she turned 13. After that she had attitude. She never wanted to go to school.,roc
429,"There I know you're wrong, I said warmly.",mnli
430,"Fred was at a restaurant with his friends. Feeling adventurous, he decided to order a plate of frog legs. But after it arrived, he regret ordering it.",roc
431,"Jace's hair had grown so long, that he was ready for a haircut. At the salon, the cosmetologist put a colorful cover over Jace.",roc
432,"If you want a model to determine how the orbits should be, we have the finest orrery ever built here in the camp.",mnli
433,"In that case, I have no alternative but to agree.",mnli
434,"With a faint gesture of the hand, he indicated the figure on the bed.",mnli
435,I dropped her here in the car about an hour ago.,mnli
436,"It consisted of a loaf, some margarine, and a jug of coffee.",mnli
437,"The obvious answer was that he was in a normal hospital, somehow still alive, being patched up.",mnli
438,"On his keyboard he typed various letters and numbers, which would become computer programs for the 0-1 Computer Associates company.",mnli
439,"Dan had a very important meeting scheduled with his banker. Dan wanted to ensure that his finances were in order for retirement. However, the day of the meeting, Dan overslept.",roc
440,They ain't got no spite 'gainst nobody as wants to rub 'em down an' give 'em a feed.,mnli
441,They would come and Fena Dim would die.,mnli
442,"Juan was incredibly excited for his first day of middle school. He had all his supplies and new clothes, and felt prepared.",roc
443,"In accordance with their prearranged plan, she never spoke to Alfred Inglethorp.",mnli
444,"The axe wielder had learned of Jon's guns, it appeared.",mnli
445,Tim was going on a road trip with his family. They asked him if he had to pee before they left. Tim said no.,roc
446,Adrin grunted and the expression on his face continued to fall into frustration and hopelessness.,mnli
447,Serena was arguing with her mom. She was insisting that Serena had lied about walking the dog. Serena was completely insulted that her mom wouldn't believe her.,roc
448,"He decided that Tuppence, in the throes of anxiety, had gone to the police, and that his disappearance having been made public the gang had not been slow to put two and two together.",mnli
449,Tom was drunk one night. He decided to get a tattoo. He wanted something foreign looking. He got asian characters without knowing what they meant.,roc
450,"For the moment, I reckon you're the boss.",mnli
451,Blaze was born in Holland. His parents moved to Kansas when he was quite young. One day he was playing near a pond and fell in.,roc
452,He thinks about another boy he saved from the Eye the way you saved me.,mnli
453,The sight of horror continued to unfold in front of Ca'daan.,mnli
454,Leo is at the carnival. He wants to win his date a prize. He plays the shooting game. He knocks down all the bottles.,roc
455,Joxer's owner was moving. She needed to find a new home for him. She looked online. She found a man that wanted to adopt a cat.,roc
456,All I have to do is let this train reach its third stop.',mnli
457,Marvin went to a magic show. The magician messed up on his routine. Marvin was able to understand how the magician was doing his routine.,roc
458,Nicole wanted to go to a party. Her parents forbid her from going. After they went to sleep Nicole sneaked out of the house.,roc
459,Marcus was opening up a bottle of coke. He saw that his lid said he was a winner. He doubted it but called the number anyways.,roc
460,"For one instant he stopped dead, staring at the figure on the bed, and, at the same instant, Mrs. Inglethorp cried out in a strangled voice, her eyes fixed on the doctor: ""Alfred, Alfred, , "" Then she fell back motionless on the pillows.",mnli
461,George had always wanted to go white water rafting. Everyone told him it was too dangerous. He saved and planned for this trip for three years.,roc
462,My friend was in the pool with her top off. She was on a float. Her neighbor was behind the fence. The neighbor asked her to put some clothes on.,roc
463,And his hand tightened so on the reins that some fraction of his reaction must have reached Shiloh.,mnli
464,You couldn't help but relieve yourself and know it drenched everyone.,mnli
465,"Doctor Edward didn't mind the assistant lecturer's unpleasant behavior so much, but he did mind the unpleasant behavior of the assistant professor - Ms. Czeslawa Ceracz.",mnli
466,The impact of his treatment of the beast fell upon him and Ca'daan let out a single sob.,mnli
467,Ellen tiptoed into her father's garage to see what he was up to. She accidentally hit his work table and a hammer fell.,roc
468,"My wife's coworker (Sara) recently visited her husband's grandson. They do not see him often. Her husband and daughter have an on again, off again relationship.",roc
469,"Jenna didn't like her boss at work. He was always treating her as if she didn't exist. To make sure he'd notice her, she spiced his coffee with pepper.",roc
470,For a moment the girl fancied she must have dreamt it.,mnli
471,Drew had come west from Kentucky to find a father he had thought dead until the year before.,mnli
472,"John cut down trees for a living. While cutting down a tree a large limb fell onto his leg. John screamed in pain, alerting nearby homeowners.",roc
473,"What he saw of the resources of this private fort led Drew to accept the other stories he had heard of the Range, like the one that Don Cazar's men practiced firing blindfolded at noise targets to be prepared for night raids.",mnli
474,"No, I myself took a sample of the coco remaining in the saucepan and had it analysed.",mnli
475,Russ was having a very long and stressful day in his job as a plumber. He had spent most of the day doing emergency sewer clearing.,roc
476,Josh found an old letter in his closet. He read it and realized it was from his grandfather. Josh went to his grandmother and gave the letter to her.,roc
477,"Well, he said at last, ""let us go, mon ami.""",mnli
478,Dave stood at the penalty kick line waiting to shoot. He signaled to his friend who stood near the goalie.,roc
479,Conrad lit a hissing gas burner and went out.,mnli
480,Charlie woke up feeling miserable. He had broken out in a fever. He called his work to tell them he wouldn't be in today. He then took some medicine.,roc
481,Kelsi really wanted a new car. Problem was she could not afford one. She decided to she was going to buy one used. So she went to the used dealership.,roc
482,"The man who says Teodoro Trinfan is ladrón bad one him I kill! Drew's left arm swept out across the boy's chest, pinning him back against the stable.",mnli
483,Laura had always wanted to learn how to make rice. She loved eating rice in restaurants but couldn't make it at home.,roc
484,He caught the shaft of the other axe with his left hand as it came in and kicked the assassin in the chest.,mnli
485,Natasha loved basketball. She wanted to be professional player. She knew everything about the sport there was to know. She just didn't have any coordination or height.,roc
486,"Don't you see? It wasn't the bomb that defeated us, but our own shell shock.",mnli
487,Joe's friend offered to pay him to mow his yard. Joe went to his friend's to work on the yard. He was suddenly attacked by a swarm of bees.,roc
488,"Yes, tell me all about it, said Sir James.",mnli
489,Terry and her friend were having fun. They had decided to hike up a hill near her house. The hill had lots of cool plants growing on it.,roc
490,"Ah, my young friend, it is lucky for you your skull is so thick.",mnli
491,Joanie worked at a hair salon. Several of her clients loved her work. The clients referred her to their friends. Many people asked for Joanie at the salon.,roc
492,There's a garrison out to the Mesa camp.,mnli
493,"Tina was looking for a new home. She got preapproved for a $500,000 home. She started looking in a very exclusive neighborhood. Soon, Tina decided on a home.",roc
494,Bob was looking at a house in the town of Herington. The agent laughed when Bob asked what he thought of the town.,roc
495,I brought out my old telescope. I saw a brighter spot in the sky. I looked in the viewer. I could make out individual stars.,roc
496,Cindy loved drawing people. And her friends and family always gave her great compliments. Cindy thought she was a great artist and went to art school.,roc
497,"Gregg hated going from foster home to foster home. So when he finally found one he liked, he wanted to stay.",roc
498,We went to this donut place yesterday. They are only open at night. When we saw the line we were appalled. The line was twenty minutes long.,roc
499,Tim and Jessica went outside to play a game of hide and seek. Jessica found a great place to hide in a cave by a tree.,roc
500,"He stopped riding his bike, stopped walking, stopped talking, and during auntie Helena's name day party, he said for the last time: 'Mama.'",mnli
501,Jamal met a girl on Facebook and arranged a date. He picked her up and met her 20-year-old daughter and 16-year-old son.,roc
502,It started to rain before Marta left for work. She grabbed her umbrella. Marta walked to work under the peaceful rain. She dodged a puddle.,roc
503,Camille went out to birdwatch. She stood in the bushes watching for the birds. Camille felt something on her foot. She fearfully looked down.,roc
504,"When they walked back to their camp, Adrin wore the dragon hammered guns on his hips as Jon wore his own.",mnli
505,Shelly made breakfast for her boyfriend. She planned extensively her meal. She decided to make eggs and bacon. She prepared a beautiful meal and served it to him.,roc
506,"Yes, sir. It was a whisper so low as hardly to be heard.",mnli
507,"Every morning started with a pot of coffee for Michelle. One morning she turned the coffee on as usual. However, the carafe was not in position.",roc
508,She smiled at me and it was like the sun had risen over my life.,mnli
509,"She'll know that's you, said Tommy with a sigh of relief.",mnli
510,He would need her at the council's meeting but she needed to be a child more.,mnli
511,"Warm did not hide the fact he would have preferred to fuse with a mouse, or a mouse pad.",mnli
512,"Not a doubt about it, I must push on. He paid for his breakfast, and betook himself to Whitehall.",mnli
513,Jimmy was shopping online for a new camera. He found the one he wanted but it wasn't available for pickup.,roc
514,No one could have known beforehand that she was going to be in that house much less that particular room.,mnli
515,"Ser Perth came over again, staring down at the sketch.",mnli
516,Ruth has a big secret. She is living her life as a lie. She wants to come out to tell her parents she is gay.,roc
517,Berly was a great dreamer and she dreamed to be a songwriter. She started writing songs when she was in high school.,roc
518,"I thought I might as well go down to the village at once, and look up Poirot; but I met him half-way, coming up to the house, and at once gave him Dorcas's message.",mnli
519,"Now he sops up whisky when he hits town an' picks fights, like he didn't git his belly full of that in th' war.",mnli
520,It makes me feel as if a goose were walking over my grave.,mnli
521,Emily loved the beach. She went to the beach every weekend. She spent much of her time at the beach tanning. Her job has been getting busier lately.,roc
522,Tammy was doing the dishes. She reached into the sink and felt something sharp. Tammy pulled out her hand from the sink. Tammy had cut her hand on a knife.,roc
523,Doris loved playing bingo at her retirement home. Her favorite bingo number was I-29. When it was called she laughed every time. She said I wish I was 29!,roc
524,"Emily was a skilled card counter at blackjack. One night she won $3,000 at a casino blackjack table. She stopped playing because she didn't want to gamble it away.",roc
525,She couldn't hope to make such a trip for maybe six months.,mnli
526,A little boy always dreamed of becoming a magician. So the little boy went to the local library and got books on magic.,roc
527,Now he could not understand why he felt so chilled and lost.,mnli
528,"It was only human nature to endeavour to please ""The Hall"" ”especially when it might result in custom being transferred from Coot's to the local establishment.",mnli
529,"I haven't seen him either, replied Tuppence impatiently.",mnli
530,Julia hadn't talked to her mom in a long time. They had been fighting for a couple of years.,roc
531,I saw the size of it; the unfathomable scale that would make giants seem small and skyscrapers tiny.,mnli
532,"Jude went strawberry picking with his family last weekend. As he had never done so, he spent his time eating the fruits.",roc
533,"They had sought through other worlds and ages for anyone with a reputation as a builder, engineer or construction genius, without screening the probability of finding an answer.",mnli
534,Ian found out that Glady cheated on her. She talked to him and asked to overlook her infidelity. He wasn't convinced and arranged a divorce.,roc
535,Cathy recently told her parents that she wanted to be Class President. Cathy felt that there were changes that could be made in her school.,roc
536,I should like to see a good flare up.,mnli
537,Then we could have obtained a computer for you and you could have simulated our sky as it should be within your computer and forced it to be repaired long ago.,mnli
538,Rufus was tired to have his neighbor's dog sniffing on his lawn. He put some rose bushes to block the dog from coming in.,roc
539,"On June 13th, my wife and I visited Sara and her son Frank. We live down the hall from each other in a high rise in Cambridge.",roc
540,John took over the failing network. He changed the lineup and added a lot of new shows. The fans of the network didn't want to watch anymore.,roc
541,"There's no way out,' White breathed, as the two of us retreated through the dining cart.",mnli
542,"I am delighted to make your acquaintance, Mr. Beresford.",mnli
543,The lawn got brown and dry in the hot summer. A man installed a sprinkler system. The grass became nice and green. Neighbor kids came to play on the lawn.,roc
544,Peter was very excited. He found his favorite movie on DVD at the store! He bought it and rushed home to watch. He laughed hard at his favorite parts.,roc
545,"Shelly loved to visit the ocean. One day, her grandfather invited her to the beach. They walked by the shore. The waves roared and pounded on the sand.",roc
546,That one's chewin' th' bit an' gittin' ready to hump under th' saddle.,mnli
547,There is the strychnine sold across the counter at Styles St. Mary by Mace.,mnli
548,And I was wrong about its being useless to go to him.,mnli
549,John had a big homework assignment due. He made sure to finish it early. He printed it out and had it ready to go.,roc
550,"Then you think he never really cared for her? I asked eagerly ”rather too eagerly, perhaps, under the circumstances.",mnli
551,Joe was really hungry. So he ate whatever he saw first in his refrigerator. But he felt really unsatisfied. He continued to eat random food until he felt satiated.,roc
552,"All the ground floor windows were shuttered tight, but upstairs, on the first floor (it was a two-storied house) I noticed a window with a light burning and the curtains not drawn.",mnli
553,Thorn and Vrenna hiked to the top of the bluff during the day.,mnli
554,There were rumours of dissension among the Labour leaders.,mnli
555,Ed broke his phone one day. He was walking down the street and dropped it on the concrete. The screen was smashed badly. He realized he couldn't fix it.,roc
556,Bob knew people were trespassing in his yard. He could see ruts everywhere in his yard. Bob put nails in a couple two by fours.,roc
557,"This was no piffling little Gizeh pyramid, no simple tomb for a king.",mnli
558,I decided to take my girlfriend to the beach. As we were walking she paused. She told me she was afraid of the water. I told her it was ok.,roc
559,"However, he did tend to drink a bit too much.'",mnli
560,Sandra wanted new bed sheets. So she gave her old ones to her aunt. Sandra then went to the store. She found a very nice bed sheet.,roc
561,Dan was going to play a game of dodge ball at the park. Dan decided that he needed to wear a hat to the park.,roc
562,"Kitchell's men do, perhaps it is thought that they do so.",mnli
563,One of his brill snorted loudly as Ca'daan cut Whitebelly from the brill pack.,mnli
564,The couple was registering for wedding gifts. They couldn't agree on what dishes they wanted. The bride got really mad and stormed off. THe groom cancelled the wedding.,roc
565,Today was a great day. We were able to purchase our very own kayaks! We were anxious to test them out and get on the water.,roc
566,He didn't think Vrenna was a spy for the north but very few knew how to block someone like Susan.,mnli
567,"Three-quarters of an hour later he rode back, the black blowing foam, but answering the rein.",mnli
568,Do you think I'd make a good leader?',mnli
569,Chet played as a musician in a band. The band played in a local bar on Friday nights. A fight broke out in the bar one night.,roc
570,"Of course, we're still in the solar atmosphere, even there, with the Van Allen belts and such things.",mnli
571,Tuppence looked round to see what had startled her.,mnli
572,Billy went to the paper box to get the Sunday paper. His mom immediately took the coupons and store ads.,roc
573,"Oh, hurry! They were now at the corner of Carlton House Terrace, and their spirits lightened.",mnli
574,"He fumed with impatience, but he stood his ground.",mnli
575,Longshanks Jerb was a hermit. He lived alone on a mountain in exile. One day a group of kids finally managed to pry his secret from him.,roc
576,"From the dead man's pocket-book he had retrieved the illomened draft treaty, and then and there, in the presence of the other three, it had been reduced to ashes… .",mnli
577,I can go back at anytime?' I managed to ask.,mnli
578,Alfred Jumblies was a court prosecutor. He had won dozens of cases in his short career. Many of his colleagues thought he was well on his way to becoming DA.,roc
579,"I shall not ask her to tell me anything, he said quietly.",mnli
580,Jeff was a pilot. Jeff wanted to buy a new airplane. He looked around for a good deal. He found a plan he liked and made an offer.,roc
581,"I went on a hike one morning by myself to have some time alone. I brought along a lighter, planning to make a fire to stay warm.",roc
582,"He was deferential to Sir James, whom he recognized.",mnli
583,Sally was hungry. She decided to make a sandwich. All she had was peanut butter and jelly. She made a sandwich.,roc
584,"That spearwoman is good, he said to Ca'daan.",mnli
585,A guy I like finally asked me out on a date. The date went well and I was excited for him to kiss me in the car.,roc
586,Vince had designed a new workout plan. He decided to host a class for it. He had a lot of students. They all learned the routine.,roc
587,They were almost at the barn; its huge open door black.,mnli
588,"He says: ""Find the extra coffee-cup, and you can rest in peace!"" ' Nothing more.",mnli
589,"Outlaws do, when it pays, Anse shot out grimly.",mnli
590,"Paul loved to use his computer. He would play games on it as well. One day, his computer would not turn on. This made Paul very sad.",roc
591,"It's a young woman about the situation, ma'am.",mnli
592,Candy's dad worked for a law firm. She would stay in his office sometimes after school. Candy would hear a lot of law terms from the office.,roc
593,He asked me why I did it. I sat in the chair and shrugged. The principal stood up and said he was calling my parents.,roc
594,"The policemen had orders to say, if they were asked, that no one had gone into the house.",mnli
595,Sharon's parents were out of town for the week. Word had gotten around that Sharon's home was going to be empty.,roc
596,"You know, when you break up, they say it is me, not you. Well, my boyfriend and I had problems for a while.",roc
597,Drew caught a glimpse of a white bandage under the brim of the passenger's hat and knew that Johnny Shannon was coming home.,mnli
598,The Minnesota Vikings were expected to make noise this season. They have a good running back and a solid defense. Their star quarterback helped them make the  playoffs last year.,roc
599,Kayla loved hosting parties. She would make sure every detail was perfect! It was a special holiday for Kayla's religion. She invited all her friends and family for a party.,roc
600,It is a name most respectable most common.,mnli
601,"Now, shortly we are expecting a Coronel Luis Oliveri who's to buy horses for the Juarez forces.",mnli
602,Dawn was dating a new guy. Dawn thought that he had odd habits. Dawn's cousin knew the guy. Her cousin said that he was a drug dealer.,roc
603,Mister? Drew thought he did not have the advantage of Callie by more than four or five years.,mnli
604,"I cannot thank you enough for your assistance, said Ca'daan.",mnli
605,When Ellen was sixteen she dropped out of school. She hated going to classes and wanted to work to earn money.,roc
606,"Andy wanted to teach his dog a new command. Andy decided to teach his dog the stay command. At first, Andy's dog was confused about what to do.",roc
607,Jennifer was afraid of bees. There was a hive next to her house she wanted to remove. She called an expert to ask what to do.,roc
608,"Aaron was proud of his family's history. Every time he was taking the subway, he thought about his forefathers.",roc
609,"Jim had always wanted to fly, but he didn't want to be a pilot. He wanted to wear a winged flight suit and dive like a bird!",roc
610,"He was holding a large suitcase, the same suitcase he'd been carrying on the platform...I wondered what'd happened to that.",mnli
611,Adrin wore his read cloak and his leather three-cornered hat.,mnli
612,This became the subject of many pranks on the part of little Benny.,mnli
613,"Of course, I don't know that they killed you first--but those are their methods.",mnli
614,After a night of snowing my yard was filled with snow. I took a picture of the yard. I admire the snow and how great it looks.,roc
615,Peter was trying to scare his sister. He told her stories about monsters in her room. Peter's sister was scared. She went ask her parents if the stories were true.,roc
616,Kassidy started dating Bill in high school. They went to the same college together. Kassidy and Bill moved in together after college. Bill surprised Kassidy by proposing to her.,roc
617,Susie's husband Charles was a smoker. She tried everything to get him to quit smoking. But he simply would not. So she put him under hypnosis.,roc
618,James worked freelance at night after his day job. He completed a survey one night and went to bed. He woke up and realized that his work was rejected.,roc
619,I never answered questions from the audience; too risky.,mnli
620,"And do you know, she sat down and CRIED when I told her she couldn't have the flat after all.",mnli
621,Just want to put her down right and proper on the tally sheet. The boy followed to watch Drew make the record on the margin of Shadow's papers.,mnli
622,"First Burger King served up knuckle sandwiches in the yard every day. One day, he met a man who wouldn't go down in one punch.",roc
623,Then I will begin by asking you about the events of yesterday afternoon.,mnli
624,Phoebe was with her new boyfriend. They were watching a movie but both were thinking of kissing. Since they hadn't kissed before it was rather awkward.,roc
625,"I don't know what to say to Julius, I'm sure.",mnli
626,"The man's eyes, large and opaque, stared at Hanson.",mnli
627,Cathy had a crush on Bill. She found out that Bill liked blonde hair. Cathy decided to dye her hair to entice Bill.,roc
628,"Laura ran out of money to furnish her new home and was discouraged. Driving home one day, she saw an old writing desk sitting on the curb.",roc
629,Seth was a rebellious 9th grader who would not listen. Seth was constantly mouthing off to his teachers. Finally one of his teachers confronted him.,roc
630,"Jon sat on an overturned trough, feeling the heat of the blazing houses warm his left side.",mnli
631,"Benjamin was a ferocious turker, he amassed thousands of hits. At the least he would still turn in 300 hits daily with ease.",roc
632,"At first, in spite of the costume, he was pleased.",mnli
633,"He wasn't sure he wanted to, after all.",mnli
634,"Ky's sister hated Ky's girlfriends. Every week he had a new one, and they were all mean. But when she met Ky's newest girlfriend, she smiled.",roc
635,"Winter was coming, and Jackie needed a new winter coat. Jackie decided to walk down to the store to buy one. She stopped into a small shop down the street.",roc
636,"Reason would say so, if what you say is true.",mnli
637,"She was afraid that particular wrinkle on the face of her future husband will destroy the photo in the wedding announcement section of the newspaper, but fortunately, her parents arranged for photo-shopping at the editorial offices, so everything would turn out just fine.",mnli
638,As a boy I ran water to his forge.,mnli
639,"After all, perhaps it WAS colossal cheek on her part.",mnli
640,Wes was getting his elbow tattooed today. He knows how bad it's supposed to hurt. One of his friends almost cried from the pain.,roc
641,Mark and his brothers wanted to go to the beach. One day they packed up their car and headed out to the beach.,roc
642,The 192 butler threatened him with the police if he intruded again.,mnli
643,Bill always wanted to learn Japanese. Bill bought some instructional videos and began studying. Bill got better and better at the language.,roc
644,Vrenna and the knife wielding man had engaged the four guards of the camp's slave master.,mnli
645,"Marylinn took the home pregnancy test to discover she was pregnant. She first told her husband, and they celebrated together. Then, she scheduled her first appointment.",roc
646,Nia has been interested in science her whole life. Her favorite birthday gift was a chemistry set. She studied hard in high school and went to college for science.,roc
647,This became the subject of many pranks on the part of little Benny.,mnli
648,Something hot and wet ran down his mouth and chin.,mnli
649,"And Benedykt was indeed the boss, even though he himself couldn't quite believe it.",mnli
650,The White family went to the zoo. They had to travel in the car for a hour to get there. They walked all around the zoo looking at the animals.,roc
651,"The Kentuckian crouched, alert, Anse beside him now, both listening for any suspicious sound.",mnli
652,Keith had just started at a new school. He was assigned a locker. Keith couldn't get his new locker open. He kept trying his old combination.,roc
653,Charles was in a rush to eat his food and go back outside. He gulped down his food without chewing. Charles started to choke on his food!,roc
654,"Karen decided to shop for duck decoys at an antique store. Her boyfriend, Aaron, loves to go duck hunting. He also decorates his home with antiques.",roc
655,Joe loved his mom's fried chicken. One day he decided he would try to copy her recipe. He bought all the ingredients. He followed each step.,roc
656,Camille showed her husband the new dress. Her husband thought she looked great. He grabbed onto Camille's waist for a hug. Camille pushed him away.,roc
657,"Lea dreaded working with Dan because he was sexually harassing her. He stared at her, stood too close, and made personal comments.",roc
658,"Then what is your explanation of Mr. Mace's statement? Alfred Inglethorp replied imperturbably: ""Mr. Mace must have been mistaken."" The Coroner hesitated for a moment, and then said: ""Mr. Inglethorp, as a mere matter of form, would you mind telling us where you were on the evening of Monday, July 16th?""",mnli
659,"Yes, sir, made with milk, with a teaspoonful of sugar, and two teaspoonfuls of rum in it.",mnli
660,I slept soundly that night though I couldn't move at all the next day because of my back on that table.,mnli
661,"Give me their sight as well, said Jon.",mnli
662,"Project Gutenberg is a registered trademark, and may not be used if you charge for the eBooks, unless you receive specific permission.",mnli
663,"Senor, should you ever wish to sell, por favor, remember one Luis Oliveri!",mnli
664,I was babysitting my four year old brother. He began throwing things everywhere. He hit me in the eye with a plate.,roc
665,Nell was going out to dinner with her long time boyfriend. She was sure he would pop the question tonight. She waited all throughout dinner but nothing happened.,roc
666,Got him a head crease wot knocked him silly for a bit.,mnli
667,"As her eyes fell on me, a sudden pang of guilt shot through me.",mnli
668,Morgan went on a school trip to the zoo. The first animal she saw was a huge elephant. She marveled at its size.,roc
669,"Faith took her cousins for a ride in her car. She let their dog, Pippin, come along too. After driving around for a while they drove by the graveyard.",roc
670,My record for traveling to my hometown is four hours. It is about 300 miles. I had to go from 90 to 100 miles per hour.,roc
671,Tammy was hiking through a forest in Northern California. As Tammy was hiking she decided to take a rest on a large rock. Tammy sat down on the large rock.,roc
672,That 'message' was Mr. Brown's way of giving an order to his subordinate.,mnli
673,"Down below, there was the carriage containing White's men... ...And there were two others on the outside with us, attacking the carriage at its joints.",mnli
674,"I do not usually label myself as dense, but I must confess that nothing out of the ordinary had attracted my attention.",mnli
675,"Great billowing streaks of flame, snaking to heaven and coiling up the sky.",mnli
676,Therefore he was left with a choice as to which he would follow.,mnli
677,"Dr. Hall came next, and he was followed by the American Ambassador.",mnli
678,"As they approached, the man watched them with eyes of light almond.",mnli
679,The woman had been dreaming of going to Italy. She made careful plans and bought a ticket. She was so excited to see the famous sights.,roc
680,There's a lot of room for demotion in my department.,mnli
681,Sam believed that it was wrong to keep animals at pets. So he decided to set them all free. He opened backyard gates everywhere he went to release pets.,roc
682,My friend had an apple tree. I helped her to pick the apples to make apple pies. She misread the instructions and used the wrong amount of butter.,roc
683,Will was getting tired of his job. Will sent out his resume to several local tech companies. Will made calls to inquire about openings at those companies.,roc
684,"I need to speak to my uncle, said Ca'daan.",mnli
685,"He was a small man, very pale, with a gentle almost womanish air.",mnli
686,We always keep it in the hall drawer.,mnli
687,Jennie went to the mall to find some new shoes. She saw that her favorite shoe store was having a sale. She bought three pairs of shoes that she liked.,roc
688,"Only, lissen here, kid, maybe you'd better keep outta sight.",mnli
689,A waiter named Simone has been working double shifts all week. She's trying to pay for her tuition next semester. It feels hopeless to her at this point.,roc
690,"That will be impossible, I fear, said Sir James.",mnli
691,"Then I marked the place carefully in my own mind, so that I'd find it again.",mnli
692,"The doorbell was very loud and annoying. Every time it rang, the dog went nuts. The homeowner decided to disconnect the doorbell. Finally, it was peaceful!",roc
